combined-0,199001300001-gtd
combined-30612,200407110006-gtd
combined-30613,200407120001-gtd
combined-30614,200407120002-gtd
combined-30615,200407130001-gtd
combined-30616,200407140001-gtd
combined-30617,200407140002-gtd
combined-30618,200407150001-gtd
combined-30619,200407150002-gtd
combined-30620,200407150003-gtd
combined-30621,200407150004-gtd
combined-30622,200407150005-gtd
combined-30623,200407150006-gtd
combined-30624,200407150007-gtd
combined-30625,200407150008-gtd
combined-30626,200407150009-gtd
combined-30627,200407150010-gtd
combined-30628,200407160001-gtd
combined-30629,200407160002-gtd
combined-30630,200407170001-gtd
combined-30631,200407170002-gtd
combined-30632,200407170003-gtd
combined-30633,200407170004-gtd
combined-30634,200407180001-gtd
combined-30635,200407180003-gtd
combined-30636,200407180004-gtd
combined-30637,200407190001-gtd
combined-30638,200407190002-gtd
combined-30639,200407190004-gtd
combined-30640,200407190005-gtd
combined-30641,200407190006-gtd
combined-30642,200407200001-gtd
combined-30643,200407200002-gtd
combined-30644,200407210001-gtd
combined-30645,200407210002-gtd
combined-30646,200407210003-gtd
combined-30647,200407210005-gtd
combined-30648,200407210006-gtd
combined-30649,200407220001-gtd
combined-30650,200407220002-gtd
combined-30651,200407220003-gtd
combined-30652,200407230001-gtd
combined-30653,200407230002-gtd
combined-30654,200407240001-gtd
combined-30655,200407240002-gtd
combined-30656,200407240003-gtd
combined-30657,200407250001-gtd
combined-30658,200407250002-gtd
combined-30659,200407250003-gtd
combined-30660,200407250005-gtd
combined-30661,200407250007-gtd
combined-30662,200407260001-gtd
combined-30663,200407260002-gtd
combined-30664,200407260003-gtd
combined-30665,200407260004-gtd
combined-30666,200407260005-gtd
combined-30667,200407260006-gtd
combined-30668,200407260007-gtd
combined-30669,200407260008-gtd
combined-30670,200407260009-gtd
combined-30671,200407270001-gtd
combined-30672,200407270002-gtd
combined-30673,200407270003-gtd
combined-30674,200407280001-gtd
combined-30675,200407280002-gtd
combined-30676,200407280003-gtd
combined-30677,200407280004-gtd
combined-30678,200407290002-gtd
combined-30679,200407290003-gtd
combined-30680,200407290004-gtd
combined-30681,200407300001-gtd
combined-30682,200407300002-gtd
combined-30683,200407300003-gtd
combined-30684,200407300004-gtd
combined-30685,200407300005-gtd
combined-30686,200407310001-gtd
combined-30687,200407310003-gtd
combined-30688,200407310004-gtd
combined-30689,200407310005-gtd
combined-30690,200407310006-gtd
combined-30691,200407310007-gtd
combined-30692,200407310008-gtd
combined-30693,200408010001-gtd
combined-30694,200408010002-gtd
combined-30695,200408010003-gtd
combined-30696,200408010004-gtd
combined-30697,200408010005-gtd
combined-30698,200408010006-gtd
combined-30699,200408010008-gtd
combined-30700,200408010009-gtd
combined-30701,200408010010-gtd
combined-30702,200408010011-gtd
combined-30703,200408010012-gtd
combined-30704,200408010013-gtd
combined-30705,200408020001-gtd
combined-30706,200408020002-gtd
combined-30707,200408020003-gtd
combined-30708,200408020004-gtd
combined-30709,200408020005-gtd
combined-30710,200408030001-gtd
combined-30711,200408030002-gtd
combined-30712,200408030003-gtd
combined-30713,200408030004-gtd
combined-30714,200408030005-gtd
combined-30715,200408030006-gtd
combined-30716,200408030007-gtd
combined-30717,200408030008-gtd
combined-30718,200408030009-gtd
combined-30719,200408040001-gtd
combined-30720,200408040002-gtd
combined-30721,200408040003-gtd
combined-30722,200408040004-gtd
combined-30723,200408050001-gtd
combined-30724,200408060001-gtd
combined-30725,200408060002-gtd
combined-30726,200408070001-gtd
combined-30727,200408070002-gtd
combined-30728,200408080001-gtd
combined-30729,200408080002-gtd
combined-30730,200408080003-gtd
combined-30731,200408090001-gtd
combined-30732,200408090002-gtd
combined-30733,200408090003-gtd
combined-30734,200408100001-gtd
combined-30735,200408100002-gtd
combined-30736,200408110001-gtd
combined-30737,200408110002-gtd
combined-30738,200408110003-gtd
combined-30739,200408120001-gtd
combined-30740,200408120002-gtd
combined-30741,200408130001-gtd
combined-30742,200408130002-gtd
combined-30743,200408130003-gtd
combined-30744,200408140001-gtd
combined-30745,200408150001-gtd
combined-30746,200408150002-gtd
combined-30747,200408150003-gtd
combined-30748,200408160001-gtd
combined-30749,200408160002-gtd
combined-30750,200408160003-gtd
combined-30751,200408170001-gtd
combined-30752,200408170002-gtd
combined-30753,200408170003-gtd
combined-30754,200408180001-gtd
combined-30755,200408180002-gtd
combined-30756,200408180003-gtd
combined-30757,200408190001-gtd
combined-30758,200408200001-gtd
combined-30759,200408200003-gtd
combined-30760,200408200005-gtd
combined-30761,200408200006-gtd
combined-30762,200408210001-gtd
combined-30763,200408210002-gtd
combined-30764,200408210003-gtd
combined-30765,200408210004-gtd
combined-30766,200408220001-gtd
combined-30767,200408220003-gtd
combined-30768,200408220004-gtd
combined-30769,200408230002-gtd
combined-30770,200408240001-gtd
combined-30771,200408240002-gtd
combined-30772,200408240003-gtd
combined-30773,200408240004-gtd
combined-30774,200408240005-gtd
combined-30775,200408250001-gtd
combined-30776,200408250002-gtd
combined-30777,200408250003-gtd
combined-30778,200408250004-gtd
combined-30779,200408250005-gtd
combined-30780,200408250006-gtd
combined-30781,200408260001-gtd
combined-30782,200408260002-gtd
combined-30783,200408260003-gtd
combined-30784,200408260004-gtd
combined-30785,200408260005-gtd
combined-30786,200408260006-gtd
combined-30787,200408260007-gtd
combined-30788,200408260008-gtd
combined-30789,200408260010-gtd
combined-30790,200408270001-gtd
combined-30791,200408270002-gtd
combined-30792,200408270003-gtd
combined-30793,200408270004-gtd
combined-30794,200408270005-gtd
combined-30795,200408270006-gtd
combined-30796,200408270007-gtd
combined-30797,200408270008-gtd
combined-30798,200408270009-gtd
combined-30799,200408280001-gtd
combined-30800,200408280002-gtd
combined-30801,200408280003-gtd
combined-30802,200408280004-gtd
combined-30803,200408280005-gtd
combined-30804,200408280006-gtd
combined-30805,200408300001-gtd
combined-30806,200408300002-gtd
combined-30807,200408300003-gtd
combined-30808,200408310001-gtd
combined-30809,200408310002-gtd
combined-30810,200408310003-gtd
combined-30811,200408310005-gtd
combined-30812,200409010001-gtd
combined-30813,200409010002-gtd
combined-30814,200409020001-gtd
combined-30815,200409030001-gtd
combined-30816,200409030002-gtd
combined-30817,200409030003-gtd
combined-30818,200409030004-gtd
combined-30819,200409030006-gtd
combined-30820,200409030007-gtd
combined-30821,200409040001-gtd
combined-30822,200409050001-gtd
combined-30823,200409050002-gtd
combined-30824,200409050003-gtd
combined-30825,200409050004-gtd
combined-30826,200409050005-gtd
combined-30827,200409050006-gtd
combined-30828,200409060001-gtd
combined-30829,200409060002-gtd
combined-30830,200409060003-gtd
combined-30831,200409070001-gtd
combined-30832,200409080001-gtd
combined-30833,200409090001-gtd
combined-30834,200409100001-gtd
combined-30835,200409100002-gtd
combined-30836,200409100003-gtd
combined-30837,200409100004-gtd
combined-30838,200409100005-gtd
combined-30839,200409100006-gtd
combined-30840,200409100007-gtd
combined-30841,200409110001-gtd
combined-30842,200409110002-gtd
combined-30843,200409120001-gtd
combined-30844,200409120002-gtd
combined-30845,200409120003-gtd
combined-30846,200409130001-gtd
combined-30847,200409140001-gtd
combined-30848,200409140002-gtd
combined-30849,200409140003-gtd
combined-30850,200409140004-gtd
combined-30851,200409140005-gtd
combined-30852,200409150001-gtd
combined-30853,200409150002-gtd
combined-30854,200409150003-gtd
combined-30855,200409150004-gtd
combined-30856,200409160001-gtd
combined-30857,200409160002-gtd
combined-30858,200409160003-gtd
combined-30859,200409160004-gtd
combined-30860,200409160005-gtd
combined-30861,200409160006-gtd
combined-30862,200409170001-gtd
combined-30863,200409170002-gtd
combined-30864,200409170003-gtd
combined-30865,200409170004-gtd
combined-30866,200409180001-gtd
combined-30867,200409180002-gtd
combined-30868,200409180003-gtd
combined-30869,200409180004-gtd
combined-30870,200409190001-gtd
combined-30871,200409190002-gtd
combined-30872,200409190003-gtd
combined-30873,200409200001-gtd
combined-30874,200409210001-gtd
combined-30875,200409220001-gtd
combined-30876,200409220002-gtd
combined-30877,200409230001-gtd
combined-30878,200409230002-gtd
combined-30879,200409230003-gtd
combined-30880,200409230004-gtd
combined-30881,200409230005-gtd
combined-30882,200409240001-gtd
combined-30883,200409250001-gtd
combined-30884,200409250002-gtd
combined-30885,200409250003-gtd
combined-30886,200409250004-gtd
combined-30887,200409260001-gtd
combined-30888,200409260002-gtd
combined-30889,200409260003-gtd
combined-30890,200409260004-gtd
combined-30891,200409260005-gtd
combined-30892,200409270001-gtd
combined-30893,200409270002-gtd
combined-30894,200409270003-gtd
combined-30895,200409270004-gtd
combined-30896,200409280001-gtd
combined-30897,200409280002-gtd
combined-30898,200409280003-gtd
combined-30899,200409280004-gtd
combined-30900,200409280005-gtd
combined-30901,200409280006-gtd
combined-30902,200409280007-gtd
combined-30903,200409280008-gtd
combined-30904,200409290001-gtd
combined-30905,200409290002-gtd
combined-30906,200409300001-gtd
combined-30907,200409300002-gtd
combined-30908,200409300003-gtd
combined-30909,200410010001-gtd
combined-30910,200410010002-gtd
combined-30911,200410010003-gtd
combined-30912,200410020002-gtd
combined-30913,200410020003-gtd
combined-30914,200410020004-gtd
combined-30915,200410020005-gtd
combined-30916,200410020006-gtd
combined-30917,200410030001-gtd
combined-30918,200410030002-gtd
combined-30919,200410030004-gtd
combined-30920,200410030005-gtd
combined-30921,200410040001-gtd
combined-30922,200410040002-gtd
combined-30923,200410040003-gtd
combined-30924,200410040004-gtd
combined-30925,200410050001-gtd
combined-30926,200410050002-gtd
combined-30927,200410050003-gtd
combined-30928,200410060001-gtd
combined-30929,200410060002-gtd
combined-30930,200410060003-gtd
combined-30931,200410060005-gtd
combined-30932,200410060006-gtd
combined-30933,200410070001-gtd
combined-30934,200410070002-gtd
combined-30935,200410070003-gtd
combined-30936,200410080001-gtd
combined-30937,200410080002-gtd
combined-30938,200410080003-gtd
combined-30939,200410080004-gtd
combined-30940,200410080005-gtd
combined-30941,200410090001-gtd
combined-30942,200410090002-gtd
combined-30943,200410090004-gtd
combined-30944,200410090005-gtd
combined-30945,200410090006-gtd
combined-30946,200410100001-gtd
combined-30947,200410100002-gtd
combined-30948,200410100003-gtd
combined-30949,200410100004-gtd
combined-30950,200410100005-gtd
combined-30951,200410110001-gtd
combined-30952,200410110002-gtd
combined-30953,200410110006-gtd
combined-30954,200410110007-gtd
combined-30955,200410110008-gtd
combined-30956,200410110009-gtd
combined-30957,200410110011-gtd
combined-30958,200410120001-gtd
combined-30959,200410120002-gtd
combined-30960,200410120003-gtd
combined-30961,200410130001-gtd
combined-30962,200410130002-gtd
combined-30963,200410130004-gtd
combined-30964,200410130005-gtd
combined-30965,200410140002-gtd
combined-30966,200410140003-gtd
combined-30967,200410140004-gtd
combined-30968,200410140005-gtd
combined-30969,200410140006-gtd
combined-30970,200410140007-gtd
combined-30971,200410140008-gtd
combined-30972,200410140009-gtd
combined-30973,200410140010-gtd
combined-30974,200410140011-gtd
combined-30975,200410150001-gtd
combined-30976,200410150004-gtd
combined-30977,200410160001-gtd
combined-30978,200410160002-gtd
combined-30979,200410160004-gtd
combined-30980,200410160005-gtd
combined-30981,200410160006-gtd
combined-30982,200410160007-gtd
combined-30983,200410160008-gtd
combined-30984,200410160009-gtd
combined-30985,200410170001-gtd
combined-30986,200410170002-gtd
combined-30987,200410170003-gtd
combined-30988,200410180001-gtd
combined-30989,200410180002-gtd
combined-30990,200410190001-gtd
combined-30991,200410190002-gtd
combined-30992,200410190004-gtd
combined-30993,200410190006-gtd
combined-30994,200410200001-gtd
combined-30995,200410210001-gtd
combined-30996,200410210003-gtd
combined-30997,200410230001-gtd
combined-30998,200410230002-gtd
combined-30999,200410230004-gtd
combined-31000,200410230005-gtd
combined-31001,200410240001-gtd
combined-31002,200410240003-gtd
combined-31003,200410240004-gtd
combined-31004,200410240005-gtd
combined-31005,200410240006-gtd
combined-31006,200410240007-gtd
combined-31007,200410250001-gtd
combined-31008,200410250003-gtd
combined-31009,200410250007-gtd
combined-31010,200410250008-gtd
combined-31011,200410250009-gtd
combined-31012,200410250011-gtd
combined-31013,200410260001-gtd
combined-31014,200410270002-gtd
combined-31015,200410270003-gtd
combined-31016,200410280001-gtd
combined-31017,200410280002-gtd
combined-31018,200410280004-gtd
combined-31019,200410280005-gtd
combined-31020,200410280006-gtd
combined-31021,200410290001-gtd
combined-31022,200410290002-gtd
combined-31023,200410290003-gtd
combined-31024,200410300002-gtd
combined-31025,200410310001-gtd
combined-31026,200410310002-gtd
combined-31027,200411010001-gtd
combined-31028,200411010002-gtd
combined-31029,200411010003-gtd
combined-31030,200411010004-gtd
combined-31031,200411010005-gtd
combined-31032,200411010006-gtd
combined-31033,200411010007-gtd
combined-31034,200411010008-gtd
combined-31035,200411010009-gtd
combined-31036,200411020001-gtd
combined-31037,200411020002-gtd
combined-31038,200411020003-gtd
combined-31039,200411020004-gtd
combined-31040,200411020005-gtd
combined-31041,200411020006-gtd
combined-31042,200411020007-gtd
combined-31043,200411020008-gtd
combined-31044,200411030001-gtd
combined-31045,200411040001-gtd
combined-31046,200411040002-gtd
combined-31047,200411040003-gtd
combined-31048,200411050001-gtd
combined-31049,200411050002-gtd
combined-31050,200411060001-gtd
combined-31051,200411060002-gtd
combined-31052,200411070001-gtd
combined-31053,200411070002-gtd
combined-31054,200411070003-gtd
combined-31055,200411070004-gtd
combined-31056,200411080001-gtd
combined-31057,200411080002-gtd
combined-31058,200411080003-gtd
combined-31059,200411080004-gtd
combined-31060,200411080005-gtd
combined-31061,200411080006-gtd
combined-31062,200411090001-gtd
combined-31063,200411090002-gtd
combined-31064,200411090003-gtd
combined-31065,200411110001-gtd
combined-31066,200411110002-gtd
combined-31067,200411110003-gtd
combined-31068,200411110004-gtd
combined-31069,200411110005-gtd
combined-31070,200411120001-gtd
combined-31071,200411130001-gtd
combined-31072,200411130002-gtd
combined-31073,200411130003-gtd
combined-31074,200411150001-gtd
combined-31075,200411150002-gtd
combined-31076,200411170002-gtd
combined-31077,200411180001-gtd
combined-31078,200411180002-gtd
combined-31079,200411180003-gtd
combined-31080,200411190001-gtd
combined-31081,200411190002-gtd
combined-31082,200411190003-gtd
combined-31083,200411190004-gtd
combined-31084,200411210001-gtd
combined-31085,200411230002-gtd
combined-31086,200411230003-gtd
combined-31087,200411240001-gtd
combined-31088,200411250001-gtd
combined-31089,200411250002-gtd
combined-31090,200411250003-gtd
combined-31091,200411260001-gtd
combined-31092,200411260002-gtd
combined-31093,200411270001-gtd
combined-31094,200411280001-gtd
combined-31095,200411280002-gtd
combined-31096,200411290001-gtd
combined-31097,200411290003-gtd
combined-31098,200411290006-gtd
combined-31099,200412000001-gtd
combined-31100,200412010001-gtd
combined-31101,200412020001-gtd
combined-31102,200412020002-gtd
combined-31103,200412020003-gtd
combined-31104,200412030001-gtd
combined-31105,200412030002-gtd
combined-31106,200412030003-gtd
combined-31107,200412030004-gtd
combined-31108,200412030005-gtd
combined-31109,200412030006-gtd
combined-31110,200412030007-gtd
combined-31111,200412040001-gtd
combined-31112,200412040002-gtd
combined-31113,200412050001-gtd
combined-31114,200412050002-gtd
combined-31115,200412050003-gtd
combined-31116,200412060002-gtd
combined-31117,200412060003-gtd
combined-31118,200412060004-gtd
combined-31119,200412060005-gtd
combined-31120,200412060006-gtd
combined-31121,200412060007-gtd
combined-31122,200412060008-gtd
combined-31123,200412060009-gtd
combined-31124,200412070001-gtd
combined-31125,200412080001-gtd
combined-31126,200412080002-gtd
combined-31127,200412080003-gtd
combined-31128,200412090001-gtd
combined-31129,200412090002-gtd
combined-31130,200412090004-gtd
combined-31131,200412090005-gtd
combined-31132,200412090006-gtd
combined-31133,200412090007-gtd
combined-31134,200412100001-gtd
combined-31135,200412100002-gtd
combined-31136,200412100003-gtd
combined-31137,200412100004-gtd
combined-31138,200412100005-gtd
combined-31139,200412100006-gtd
combined-31140,200412100007-gtd
combined-31141,200412100008-gtd
combined-31142,200412100009-gtd
combined-31143,200412110001-gtd
combined-31144,200412110002-gtd
combined-31145,200412120001-gtd
combined-31146,200412120002-gtd
combined-31147,200412120004-gtd
combined-31148,200412130001-gtd
combined-31149,200412140001-gtd
combined-31150,200412140002-gtd
combined-31151,200412140003-gtd
combined-31152,200412150001-gtd
combined-31153,200412150002-gtd
combined-31154,200412150003-gtd
combined-31155,200412150004-gtd
combined-31156,200412150005-gtd
combined-31157,200412150006-gtd
combined-31158,200412170001-gtd
combined-31159,200412190001-gtd
combined-31160,200412190003-gtd
combined-31161,200412190004-gtd
combined-31162,200412200001-gtd
combined-31163,200412220001-gtd
combined-31164,200412240001-gtd
combined-31165,200412240002-gtd
combined-31166,200412240003-gtd
combined-31167,200412240004-gtd
combined-31168,200412250001-gtd
combined-31169,200412250003-gtd
combined-31170,200412260001-gtd
combined-31171,200412270001-gtd
combined-31172,200412270002-gtd
combined-31173,200412270003-gtd
combined-31174,200412270004-gtd
combined-31175,200412280001-gtd
combined-31176,200412290001-gtd
combined-31177,200412290002-gtd
combined-31178,200412290003-gtd
combined-31179,200412300001-gtd
combined-31180,200412300002-gtd
combined-31181,200412310001-gtd
combined-31182,200501010001-gtd
combined-31183,200501010002-gtd
combined-31184,200501010003-gtd
combined-31185,200501010004-gtd
combined-31186,200501010005-gtd
combined-31187,200501010006-gtd
combined-31188,200501010019-gtd
combined-31189,200501010020-gtd
combined-31190,200501010021-gtd
combined-31191,200501010022-gtd
combined-31192,200501020001-gtd
combined-31193,200501020002-gtd
combined-31194,200501020003-gtd
combined-31195,200501020004-gtd
combined-31196,200501020005-gtd
combined-31197,200501020006-gtd
combined-31198,200501020007-gtd
combined-31199,200501020008-gtd
combined-31200,200501020009-gtd
combined-31201,200501020011-gtd
combined-31202,200501020012-gtd
combined-31203,200501020013-gtd
combined-31204,200501020014-gtd
combined-31205,200501020015-gtd
combined-31206,200501020016-gtd
combined-31207,200501020017-gtd
combined-31208,200501020018-gtd
combined-31209,200501020019-gtd
combined-31210,200501020020-gtd
combined-31211,200501020021-gtd
combined-31212,200501020022-gtd
combined-31213,200501020023-gtd
combined-31214,200501020024-gtd
combined-31215,200501030001-gtd
combined-31216,200501030002-gtd
combined-31217,200501030003-gtd
combined-31218,200501030004-gtd
combined-31219,200501030005-gtd
combined-31220,200501030006-gtd
combined-31221,200501030007-gtd
combined-31222,200501040001-gtd
combined-31223,200501040002-gtd
combined-31224,200501040003-gtd
combined-31225,200501050001-gtd
combined-31226,200501050002-gtd
combined-31227,200501050003-gtd
combined-31228,200501050004-gtd
combined-31229,200501050005-gtd
combined-31230,200501050006-gtd
combined-31231,200501050008-gtd
combined-31232,200501060001-gtd
combined-31233,200501060002-gtd
combined-31234,200501060003-gtd
combined-31235,200501070001-gtd
combined-31236,200501070002-gtd
combined-31237,200501070003-gtd
combined-31238,200501070004-gtd
combined-31239,200501080001-gtd
combined-31240,200501080002-gtd
combined-31241,200501080003-gtd
combined-31242,200501080004-gtd
combined-31243,200501090001-gtd
combined-31244,200501090002-gtd
combined-31245,200501090003-gtd
combined-31246,200501100001-gtd
combined-31247,200501100003-gtd
combined-31248,200501100004-gtd
combined-31249,200501100005-gtd
combined-31250,200501100006-gtd
combined-31251,200501100007-gtd
combined-31252,200501110001-gtd
combined-31253,200501110002-gtd
combined-31254,200501110003-gtd
combined-31255,200501120001-gtd
combined-31256,200501120002-gtd
combined-31257,200501120003-gtd
combined-31258,200501120004-gtd
combined-31259,200501120005-gtd
combined-31260,200501120006-gtd
combined-31261,200501130001-gtd
combined-31262,200501130002-gtd
combined-31263,200501130003-gtd
combined-31264,200501130004-gtd
combined-31265,200501130005-gtd
combined-31266,200501130006-gtd
combined-31267,200501130007-gtd
combined-31268,200501130008-gtd
combined-31269,200501130009-gtd
combined-31270,200501130010-gtd
combined-31271,200501130011-gtd
combined-31272,200501130012-gtd
combined-31273,200501130013-gtd
combined-31274,200501130014-gtd
combined-31275,200501140001-gtd
combined-31276,200501140002-gtd
combined-31277,200501140003-gtd
combined-31278,200501140004-gtd
combined-31279,200501140005-gtd
combined-31280,200501150001-gtd
combined-31281,200501160001-gtd
combined-31282,200501160002-gtd
combined-31283,200501160003-gtd
combined-31284,200501160004-gtd
combined-31285,200501170001-gtd
combined-31286,200501170002-gtd
combined-31287,200501170003-gtd
combined-31288,200501170004-gtd
combined-31289,200501170005-gtd
combined-31290,200501170006-gtd
combined-31291,200501170007-gtd
combined-31292,200501170008-gtd
combined-31293,200501180001-gtd
combined-31294,200501180002-gtd
combined-31295,200501180003-gtd
combined-31296,200501180004-gtd
combined-31297,200501180005-gtd
combined-31298,200501180006-gtd
combined-31299,200501180007-gtd
combined-31300,200501190001-gtd
combined-31301,200501190002-gtd
combined-31302,200501190003-gtd
combined-31303,200501190004-gtd
combined-31304,200501190005-gtd
combined-31305,200501190006-gtd
combined-31306,200501190007-gtd
combined-31307,200501190008-gtd
combined-31308,200501190009-gtd
combined-31309,200501190010-gtd
combined-31310,200501200001-gtd
combined-31311,200501200002-gtd
combined-31312,200501210001-gtd
combined-31313,200501210002-gtd
combined-31314,200501210003-gtd
combined-31315,200501210004-gtd
combined-31316,200501210005-gtd
combined-31317,200501210006-gtd
combined-31318,200501220001-gtd
combined-31319,200501220002-gtd
combined-31320,200501220003-gtd
combined-31321,200501220004-gtd
combined-31322,200501220005-gtd
combined-31323,200501230001-gtd
combined-31324,200501240001-gtd
combined-31325,200501240002-gtd
combined-31326,200501240003-gtd
combined-31327,200501240004-gtd
combined-31328,200501240005-gtd
combined-31329,200501250001-gtd
combined-31330,200501250002-gtd
combined-31331,200501250003-gtd
combined-31332,200501250004-gtd
combined-31333,200501250005-gtd
combined-31334,200501250006-gtd
combined-31335,200501260001-gtd
combined-31336,200501260002-gtd
combined-31337,200501260003-gtd
combined-31338,200501260004-gtd
combined-31339,200501270001-gtd
combined-31340,200501270002-gtd
combined-31341,200501270003-gtd
combined-31342,200501270004-gtd
combined-31343,200501270005-gtd
combined-31344,200501270006-gtd
combined-31345,200501280001-gtd
combined-31346,200501290001-gtd
combined-31347,200501290002-gtd
combined-31348,200501300001-gtd
combined-31349,200501300002-gtd
combined-31350,200501300003-gtd
combined-31351,200501310001-gtd
combined-31352,200501310002-gtd
combined-31353,200501310003-gtd
combined-31354,200501310004-gtd
combined-31355,200501310005-gtd
combined-31356,200501310006-gtd
combined-31357,200502010001-gtd
combined-31358,200502010002-gtd
combined-31359,200502020001-gtd
combined-31360,200502040001-gtd
combined-31361,200502060001-gtd
combined-31362,200502070001-gtd
combined-31363,200502070002-gtd
combined-31364,200502070003-gtd
combined-31365,200502070004-gtd
combined-31366,200502070005-gtd
combined-31367,200502070006-gtd
combined-31368,200502070007-gtd
combined-31369,200502070008-gtd
combined-31370,200502080001-gtd
combined-31371,200502080002-gtd
combined-31372,200502080003-gtd
combined-31373,200502080004-gtd
combined-31374,200502080005-gtd
combined-31375,200502090001-gtd
combined-31376,200502090002-gtd
combined-31377,200502090003-gtd
combined-31378,200502100001-gtd
combined-31379,200502110001-gtd
combined-31380,200502110002-gtd
combined-31381,200502110003-gtd
combined-31382,200502120001-gtd
combined-31383,200502120002-gtd
combined-31384,200502120003-gtd
combined-31385,200502130001-gtd
combined-31386,200502140001-gtd
combined-31387,200502140002-gtd
combined-31388,200502140003-gtd
combined-31389,200502140004-gtd
combined-31390,200502170001-gtd
combined-31391,200502170002-gtd
combined-31392,200502180001-gtd
combined-31393,200502180002-gtd
combined-31394,200502180003-gtd
combined-31395,200502180004-gtd
combined-31396,200502190001-gtd
combined-31397,200502190002-gtd
combined-31398,200502190003-gtd
combined-31399,200502190004-gtd
combined-31400,200502190005-gtd
combined-31401,200502200001-gtd
combined-31402,200502200002-gtd
combined-31403,200502200004-gtd
combined-31404,200502210001-gtd
combined-31405,200502210002-gtd
combined-31406,200502230001-gtd
combined-31407,200502230002-gtd
combined-31408,200502240001-gtd
combined-31409,200502240002-gtd
combined-31410,200502240003-gtd
combined-31411,200502240004-gtd
combined-31412,200502240005-gtd
combined-31413,200502240006-gtd
combined-31414,200502240007-gtd
combined-31415,200502240008-gtd
combined-31416,200502240009-gtd
combined-31417,200502250001-gtd
combined-31418,200502250002-gtd
combined-31419,200502250003-gtd
combined-31420,200502250004-gtd
combined-31421,200502280001-gtd
combined-31422,200502280002-gtd
combined-31423,200502280005-gtd
combined-31424,200503010001-gtd
combined-31425,200503010002-gtd
combined-31426,200503010003-gtd
combined-31427,200503010004-gtd
combined-31428,200503010005-gtd
combined-31429,200503010006-gtd
combined-31430,200503020001-gtd
combined-31431,200503020002-gtd
combined-31432,200503020003-gtd
combined-31433,200503020004-gtd
combined-31434,200503020005-gtd
combined-31435,200503020006-gtd
combined-31436,200503030001-gtd
combined-31437,200503030002-gtd
combined-31438,200503030003-gtd
combined-31439,200503030004-gtd
combined-31440,200503030005-gtd
combined-31441,200503030006-gtd
combined-31442,200503030007-gtd
combined-31443,200503040001-gtd
combined-31444,200503040002-gtd
combined-31445,200503040003-gtd
combined-31446,200503050001-gtd
combined-31447,200503050002-gtd
combined-31448,200503050003-gtd
combined-31449,200503050004-gtd
combined-31450,200503060003-gtd
combined-31451,200503060004-gtd
combined-31452,200503060005-gtd
combined-31453,200503060006-gtd
combined-31454,200503070001-gtd
combined-31455,200503070002-gtd
combined-31456,200503070003-gtd
combined-31457,200503070004-gtd
combined-31458,200503070005-gtd
combined-31459,200503070006-gtd
combined-31460,200503070007-gtd
combined-31461,200503070008-gtd
combined-31462,200503080001-gtd
combined-31463,200503080002-gtd
combined-31464,200503080003-gtd
combined-31465,200503080004-gtd
combined-31466,200503080005-gtd
combined-31467,200503080006-gtd
combined-31468,200503090001-gtd
combined-31469,200503090002-gtd
combined-31470,200503090003-gtd
combined-31471,200503090004-gtd
combined-31472,200503090005-gtd
combined-31473,200503090006-gtd
combined-31474,200503090007-gtd
combined-31475,200503090008-gtd
combined-31476,200503100001-gtd
combined-31477,200503100002-gtd
combined-31478,200503100003-gtd
combined-31479,200503100005-gtd
combined-31480,200503100006-gtd
combined-31481,200503100007-gtd
combined-31482,200503100008-gtd
combined-31483,200503100009-gtd
combined-31484,200503100010-gtd
combined-31485,200503100011-gtd
combined-31486,200503110001-gtd
combined-31487,200503110002-gtd
combined-31488,200503110004-gtd
combined-31489,200503110005-gtd
combined-31490,200503110006-gtd
combined-31491,200503110007-gtd
combined-31492,200503120001-gtd
combined-31493,200503120002-gtd
combined-31494,200503120004-gtd
combined-31495,200503120005-gtd
combined-31496,200503120006-gtd
combined-31497,200503130001-gtd
combined-31498,200503130002-gtd
combined-31499,200503130003-gtd
combined-31500,200503130004-gtd
combined-31501,200503130005-gtd
combined-31502,200503130006-gtd
combined-31503,200503130007-gtd
combined-31504,200503140001-gtd
combined-31505,200503140003-gtd
combined-31506,200503140004-gtd
combined-31507,200503140005-gtd
combined-31508,200503140006-gtd
combined-31509,200503150001-gtd
combined-31510,200503150002-gtd
combined-31511,200503150004-gtd
combined-31512,200503150005-gtd
combined-31513,200503160001-gtd
combined-31514,200503160002-gtd
combined-31515,200503160003-gtd
combined-31516,200503160004-gtd
combined-31517,200503170001-gtd
combined-31518,200503170002-gtd
combined-31519,200503170003-gtd
combined-31520,200503170004-gtd
combined-31521,200503170005-gtd
combined-31522,200503170006-gtd
combined-31523,200503170008-gtd
combined-31524,200503170009-gtd
combined-31525,200503180001-gtd
combined-31526,200503180002-gtd
combined-31527,200503180003-gtd
combined-31528,200503180004-gtd
combined-31529,200503190001-gtd
combined-31530,200503190002-gtd
combined-31531,200503190003-gtd
combined-31532,200503190005-gtd
combined-31533,200503190006-gtd
combined-31534,200503190007-gtd
combined-31535,200503190008-gtd
combined-31536,200503190009-gtd
combined-31537,200503190010-gtd
combined-31538,200503190011-gtd
combined-31539,200503190012-gtd
combined-31540,200503190014-gtd
combined-31541,200503200001-gtd
combined-31542,200503200002-gtd
combined-31543,200503200003-gtd
